id,quote_id,security_id,strike,type,bid,ask,bid_size,ask_size,bank_sent_time,client_received_time,option_implied_volatility,option_delta,option_vega,option_theta,option_gamma,option_theoretical_price,underlying_security_id,underlying_type,underlying_bid,underlying_ask,underlying_bid_size,underlying_ask_size,underlying_bank_sent_time,underlying_client_received_time
6677,a178ef2b-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C195,195.000000,CALL,0.150000,0.160000,52.000000,2246.000000,1632497545303,1632497547243,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6672,a178ef30-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P170,170.000000,PUT,24.850000,25.000000,650.000000,288.000000,1632497545401,1632497547341,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6692,a178c80c-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P155,155.000000,PUT,12.400000,12.550000,1036.000000,741.000000,1632497543300,1632497545240,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6693,a178c80b-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C140,140.000000,CALL,10.750000,10.850000,631.000000,1973.000000,1632497542301,1632497544240,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6698,a178c804-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C65,65.000000,CALL,81.000000,81.200000,135.000000,618.000000,1632497545401,1632497547341,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6700,a178c805-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C175,175.000000,CALL,0.530000,0.550000,382.000000,967.000000,1632497544801,1632497546768,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6699,a178c806-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C135,135.000000,CALL,14.350000,14.500000,1139.000000,1292.000000,1632497542301,1632497544240,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6674,a178ef2e-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P165,165.000000,PUT,20.350000,20.450000,408.000000,296.000000,1632497544801,1632497546740,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6687,a178c811-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P160,160.000000,PUT,16.150000,16.250000,977.000000,205.000000,1632497544301,1632497546240,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6690,a178c80e-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P195,195.000000,PUT,49.150000,49.350000,515.000000,433.000000,1632497543301,1632497545240,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6694,a178c80a-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C185,185.000000,CALL,0.240000,0.260000,2096.000000,766.000000,1632497544801,1632497546768,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6704,a178c801-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P185,185.000000,PUT,39.250000,39.450000,411.000000,365.000000,1632497545303,1632497547243,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6673,a178ef2f-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P120,120.000000,PUT,1.420000,1.440000,234.000000,452.000000,1632497542395,1632497544334,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6679,a178ef29-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C150,150.000000,CALL,5.200000,5.300000,711.000000,1314.000000,1632497542395,1632497544334,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6680,a178ef28-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P95,95.000000,PUT,0.450000,0.470000,672.000000,448.000000,1632497544801,1632497546768,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6701,a178c803-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P190,190.000000,PUT,44.200000,44.400000,118.000000,480.000000,1632497544399,1632497546353,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6696,a178c807-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C180,180.000000,CALL,0.350000,0.360000,846.000000,339.000000,1632497544801,1632497546768,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6697,a178c808-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P85,85.000000,PUT,0.280000,0.310000,755.000000,1612.000000,1632497543898,1632497545838,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6689,a178c80f-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P80,80.000000,PUT,0.220000,0.250000,373.000000,2144.000000,1632497545401,1632497547340,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6702,9b85cdf2-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P70,70.000000,PUT,0.120000,0.150000,610.000000,507.000000,1632497532802,1632497534741,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,4700.000000,200.000000,1632497538550,1632497540490
6681,a178ef27-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C190,190.000000,CALL,0.180000,0.200000,841.000000,2632.000000,1632497544800,1632497546740,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6691,a178c80d-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P110,110.000000,PUT,0.870000,0.890000,492.000000,382.000000,1632497544801,1632497546768,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6686,a178c812-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C70,70.000000,CALL,76.000000,76.200000,361.000000,370.000000,1632497545401,1632497547341,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6683,a178ef25-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C100,100.000000,CALL,46.450000,46.600000,64.000000,565.000000,1632497542302,1632497544262,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6670,a178ef32-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C110,110.000000,CALL,36.750000,36.900000,323.000000,858.000000,1632497542896,1632497544835,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6671,a178ef31-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C85,85.000000,CALL,61.150000,61.350000,549.000000,519.000000,1632497544399,1632497546353,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6676,a178ef2d-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P90,90.000000,PUT,0.360000,0.380000,747.000000,549.000000,1632497544801,1632497546768,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6678,a178ef2a-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P125,125.000000,PUT,1.870000,1.890000,488.000000,206.000000,1632497544399,1632497546353,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6695,a178c809-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P115,115.000000,PUT,1.100000,1.120000,465.000000,377.000000,1632497544801,1632497546768,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6685,a178c813-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C75,75.000000,CALL,71.050000,71.250000,216.000000,568.000000,1632497545401,1632497547341,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6682,a178ef26-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C105,105.000000,CALL,41.550000,41.750000,701.000000,782.000000,1632497543301,1632497545240,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6688,a178c810-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P150,150.000000,PUT,9.250000,9.350000,2042.000000,193.000000,1632497544801,1632497546768,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6675,a178ef2c-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P200,200.000000,PUT,54.150000,54.350000,345.000000,527.000000,1632497545401,1632497547341,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6684,a178c814-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C145,145.000000,CALL,7.650000,7.750000,1316.000000,816.000000,1632497544399,1632497546353,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6705,a178c7ff-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P145,145.000000,PUT,6.750000,6.800000,614.000000,4.000000,1632497543801,1632497545740,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6717,a178ef37-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C160,160.000000,CALL,2.130000,2.150000,50.000000,246.000000,1632497543801,1632497545740,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6715,a178ef41-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C90,90.000000,CALL,56.250000,56.450000,35.000000,551.000000,1632497545401,1632497547341,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6720,a178ef3a-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P130,130.000000,PUT,2.530000,2.550000,199.000000,188.000000,1632497543397,1632497545337,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6724,a178ef35-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C115,115.000000,CALL,31.950000,32.150000,809.000000,866.000000,1632497544900,1632497546839,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6711,a178ef3d-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C165,165.000000,CALL,1.320000,1.340000,86.000000,344.000000,1632497543397,1632497545337,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6725,a178ef3e-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C120,120.000000,CALL,27.300000,27.450000,343.000000,516.000000,1632497544900,1632497546839,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6712,a178ef40-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C125,125.000000,CALL,22.750000,22.900000,383.000000,866.000000,1632497544900,1632497546839,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6710,a178c7fc-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C170,170.000000,CALL,0.820000,0.840000,740.000000,309.000000,1632497544801,1632497546768,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6718,a178ef3f-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C200,200.000000,CALL,0.120000,0.130000,164.000000,1487.000000,1632497543397,1632497545336,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6719,a178ef33-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C155,155.000000,CALL,3.350000,3.450000,2602.000000,1732.000000,1632497544801,1632497546768,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6703,a178c802-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P140,140.000000,PUT,4.850000,4.900000,626.000000,585.000000,1632497542896,1632497544835,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6708,a178c7fd-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P105,105.000000,PUT,0.700000,0.720000,338.000000,412.000000,1632497544800,1632497546740,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6706,a178c800-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P100,100.000000,PUT,0.560000,0.580000,625.000000,406.000000,1632497544800,1632497546740,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6723,a178ef34-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C80,80.000000,CALL,66.100000,66.300000,247.000000,607.000000,1632497545402,1632497547341,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6714,a178ef3c-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P180,180.000000,PUT,34.350000,34.550000,318.000000,306.000000,1632497545402,1632497547341,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6716,a178ef36-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P65,65.000000,PUT,0.090000,0.120000,458.000000,1942.000000,1632497545401,1632497547341,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6707,a178c7fe-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C130,130.000000,CALL,18.400000,18.550000,591.000000,1059.000000,1632497542302,1632497544294,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6721,a178ef3b-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.C95,95.000000,CALL,51.300000,51.500000,620.000000,624.000000,1632497544800,1632497546739,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6713,a178ef38-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P135,135.000000,PUT,3.450000,3.550000,3072.000000,2309.000000,1632497542302,1632497544262,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6709,a178c7fb-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P75,75.000000,PUT,0.170000,0.190000,153.000000,1008.000000,1632497544301,1632497546240,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
6722,a178ef39-1d4c-11ec-93f6-972e8b57bc6e,AAPL.CBOE.17Z2021.P175,175.000000,PUT,29.550000,29.700000,643.000000,159.000000,1632497542302,1632497544241,-1,-1,-1,-1,-1,-1,AAPL.NASDAQ,STOCK,145.950000,145.960000,1200.000000,3200.000000,1632497548489,1632497550428
