id,quote_id,security_id,strike,type,bid,ask,bid_size,ask_size,bank_sent_time,client_received_time,option_implied_volatility,option_delta,option_vega,option_theta,option_gamma,option_theoretical_price,underlying_security_id,underlying_type,underlying_bid,underlying_ask,underlying_bid_size,underlying_ask_size,underlying_bank_sent_time,underlying_client_received_time
7116,c3f8ce45-1d4e-11ec-a964-1f883e5f860b,MARA.CBOE.21F2022.P3,3.000000,PUT,0.010000,0.080000,171.000000,112.000000,1632498460274,1632498462289,-1,-1,-1,-1,-1,-1,MARA.NASDAQ,STOCK,35.620000,35.670000,4800.000000,900.000000,1632498464469,1632498466432
7097,c3f8ce56-1d4e-11ec-a964-1f883e5f860b,MARA.CBOE.21F2022.C25,25.000000,CALL,13.750000,14.100000,677.000000,948.000000,1632498460274,1632498462232,-1,-1,-1,-1,-1,-1,MARA.NASDAQ,STOCK,35.620000,35.670000,4800.000000,900.000000,1632498464469,1632498466432
7098,c3f8ce57-1d4e-11ec-a964-1f883e5f860b,MARA.CBOE.21F2022.C22,22.000000,CALL,15.800000,16.300000,388.000000,1571.000000,1632498460274,1632498462288,-1,-1,-1,-1,-1,-1,MARA.NASDAQ,STOCK,35.620000,35.670000,4800.000000,900.000000,1632498464469,1632498466432
7095,c3f8ce4d-1d4e-11ec-a964-1f883e5f860b,MARA.CBOE.21F2022.C30,30.000000,CALL,10.900000,11.200000,695.000000,719.000000,1632498460274,1632498462288,-1,-1,-1,-1,-1,-1,MARA.NASDAQ,STOCK,35.620000,35.670000,4800.000000,900.000000,1632498464469,1632498466432
7100,c3f8ce46-1d4e-11ec-a964-1f883e5f860b,MARA.CBOE.21F2022.P25,25.000000,PUT,3.100000,3.200000,289.000000,1626.000000,1632498460274,1632498462232,-1,-1,-1,-1,-1,-1,MARA.NASDAQ,STOCK,35.620000,35.670000,4800.000000,900.000000,1632498464469,1632498466432
7106,c3f8ce4e-1d4e-11ec-a964-1f883e5f860b,MARA.CBOE.21F2022.P50,50.000000,PUT,18.550000,18.750000,1391.000000,31.000000,1632498460274,1632498462289,-1,-1,-1,-1,-1,-1,MARA.NASDAQ,STOCK,35.620000,35.670000,4800.000000,900.000000,1632498464469,1632498466432
7104,c3f8ce5a-1d4e-11ec-a964-1f883e5f860b,MARA.CBOE.21F2022.P42,42.000000,PUT,12.450000,12.650000,1016.000000,734.000000,1632498460274,1632498462232,-1,-1,-1,-1,-1,-1,MARA.NASDAQ,STOCK,35.620000,35.670000,4800.000000,900.000000,1632498464469,1632498466432
7103,c3f8ce5b-1d4e-11ec-a964-1f883e5f860b,MARA.CBOE.21F2022.P40,40.000000,PUT,11.050000,11.200000,1311.000000,34.000000,1632498460274,1632498462288,-1,-1,-1,-1,-1,-1,MARA.NASDAQ,STOCK,35.620000,35.670000,4800.000000,900.000000,1632498464469,1632498466432
7099,c3f8ce5e-1d4e-11ec-a964-1f883e5f860b,MARA.CBOE.21F2022.P45,45.000000,PUT,14.500000,14.850000,2201.000000,416.000000,1632498460274,1632498462288,-1,-1,-1,-1,-1,-1,MARA.NASDAQ,STOCK,35.620000,35.670000,4800.000000,900.000000,1632498464469,1632498466432
7107,c3f8ce52-1d4e-11ec-a964-1f883e5f860b,MARA.CBOE.21F2022.P12,12.000000,PUT,0.370000,0.470000,507.000000,1399.000000,1632498460274,1632498462289,-1,-1,-1,-1,-1,-1,MARA.NASDAQ,STOCK,35.620000,35.670000,4800.000000,900.000000,1632498464469,1632498466432
