id,quote_id,security_id,strike,type,bid,ask,bid_size,ask_size,bank_sent_time,client_received_time,option_implied_volatility,option_delta,option_vega,option_theta,option_gamma,option_theoretical_price,underlying_security_id,underlying_type,underlying_bid,underlying_ask,underlying_bid_size,underlying_ask_size,underlying_bank_sent_time,underlying_client_received_time
5834,2bdb09ee-1ae9-11ec-96b0-57185d1d46e6,QQQ.CBOE.17M2022.P100,100.000000,PUT,0.200000,0.270000,560.000000,60.000000,1632234925039,1632234926010,-1,-1,-1,-1,-1,-1,QQQ.NASDAQ,STOCK,366.430000,366.440000,700.000000,1000.000000,1632234928868,1632234929782
5819,2bdae294-1ae9-11ec-96b0-57185d1d46e6,QQQ.CBOE.17M2022.C94,94.000000,CALL,273.220000,273.910000,1.000000,1.000000,1632234924920,1632234925891,-1,-1,-1,-1,-1,-1,QQQ.NASDAQ,STOCK,366.430000,366.440000,700.000000,1000.000000,1632234928868,1632234929782
5811,2bdb09ac-1ae9-11ec-96b0-57185d1d46e6,QQQ.CBOE.17M2022.P318,318.000000,PUT,14.360000,14.510000,10.000000,10.000000,1632234925420,1632234926391,-1,-1,-1,-1,-1,-1,QQQ.NASDAQ,STOCK,366.430000,366.440000,700.000000,1000.000000,1632234928868,1632234929782
5820,2bdae293-1ae9-11ec-96b0-57185d1d46e6,QQQ.CBOE.17M2022.P319,319.000000,PUT,14.570000,14.730000,60.000000,10.000000,1632234924919,1632234925890,-1,-1,-1,-1,-1,-1,QQQ.NASDAQ,STOCK,366.430000,366.440000,700.000000,1000.000000,1632234928868,1632234929782
5801,2bdb09b5-1ae9-11ec-96b0-57185d1d46e6,QQQ.CBOE.17M2022.C140,140.000000,CALL,227.430000,228.120000,1.000000,1.000000,1632234925039,1632234926010,-1,-1,-1,-1,-1,-1,QQQ.NASDAQ,STOCK,366.430000,366.440000,700.000000,1000.000000,1632234928868,1632234929782
5830,2bdb09f1-1ae9-11ec-96b0-57185d1d46e6,QQQ.CBOE.17M2022.P220,220.000000,PUT,2.790000,2.910000,25.000000,25.000000,1632234925421,1632234926392,-1,-1,-1,-1,-1,-1,QQQ.NASDAQ,STOCK,366.430000,366.440000,700.000000,1000.000000,1632234928868,1632234929782
5815,2bdb09a8-1ae9-11ec-96b0-57185d1d46e6,QQQ.CBOE.17M2022.C96,96.000000,CALL,271.220000,271.910000,1.000000,1.000000,1632234925039,1632234926010,-1,-1,-1,-1,-1,-1,QQQ.NASDAQ,STOCK,366.430000,366.440000,700.000000,1000.000000,1632234928868,1632234929782
5832,2bdb09ef-1ae9-11ec-96b0-57185d1d46e6,QQQ.CBOE.17M2022.P222,222.000000,PUT,2.890000,3.020000,25.000000,50.000000,1632234926920,1632234927831,-1,-1,-1,-1,-1,-1,QQQ.NASDAQ,STOCK,366.430000,366.440000,700.000000,1000.000000,1632234928868,1632234929782
5836,2bdb09eb-1ae9-11ec-96b0-57185d1d46e6,QQQ.CBOE.17M2022.P460,460.000000,PUT,93.700000,94.680000,22.000000,1.000000,1632234921912,1632234922884,-1,-1,-1,-1,-1,-1,QQQ.NASDAQ,STOCK,366.430000,366.440000,700.000000,1000.000000,1632234928868,1632234929782
5809,2bdb09ae-1ae9-11ec-96b0-57185d1d46e6,QQQ.CBOE.17M2022.P315,315.000000,PUT,13.720000,13.870000,10.000000,10.000000,1632234927304,1632234928214,-1,-1,-1,-1,-1,-1,QQQ.NASDAQ,STOCK,366.430000,366.440000,700.000000,1000.000000,1632234928868,1632234929782
5813,2bdb09aa-1ae9-11ec-96b0-57185d1d46e6,QQQ.CBOE.17M2022.P317,317.000000,PUT,14.140000,14.290000,20.000000,10.000000,1632234927422,1632234928331,-1,-1,-1,-1,-1,-1,QQQ.NASDAQ,STOCK,366.430000,366.440000,700.000000,1000.000000,1632234928868,1632234929782
5829,2bdb09f2-1ae9-11ec-96b0-57185d1d46e6,QQQ.CBOE.17M2022.C290,290.000000,CALL,86.300000,86.940000,1.000000,2.000000,1632234924920,1632234925890,-1,-1,-1,-1,-1,-1,QQQ.NASDAQ,STOCK,366.430000,366.440000,700.000000,1000.000000,1632234928868,1632234929782
5823,2bdae292-1ae9-11ec-96b0-57185d1d46e6,QQQ.CBOE.17M2022.C265,265.000000,CALL,108.090000,108.730000,1.000000,1.000000,1632234924919,1632234925889,-1,-1,-1,-1,-1,-1,QQQ.NASDAQ,STOCK,366.430000,366.440000,700.000000,1000.000000,1632234928868,1632234929782
5812,2bdb09ab-1ae9-11ec-96b0-57185d1d46e6,QQQ.CBOE.17M2022.C98,98.000000,CALL,269.220000,269.910000,1.000000,1.000000,1632234925039,1632234926010,-1,-1,-1,-1,-1,-1,QQQ.NASDAQ,STOCK,366.430000,366.440000,700.000000,1000.000000,1632234928868,1632234929782
5806,2bdb09b1-1ae9-11ec-96b0-57185d1d46e6,QQQ.CBOE.17M2022.C380,380.000000,CALL,22.250000,22.790000,1.000000,1.000000,1632234925039,1632234925953,-1,-1,-1,-1,-1,-1,QQQ.NASDAQ,STOCK,366.430000,366.440000,700.000000,1000.000000,1632234928868,1632234929782
