id,quote_id,security_id,strike,type,bid,ask,bid_size,ask_size,bank_sent_time,client_received_time,option_implied_volatility,option_delta,option_vega,option_theta,option_gamma,option_theoretical_price,underlying_security_id,underlying_type,underlying_bid,underlying_ask,underlying_bid_size,underlying_ask_size,underlying_bank_sent_time,underlying_client_received_time
7437,b7c2d80f-1fa4-11ec-a223-ddbc94698b0c,SAVA.CBOE.21F2022.P2_5,2.500000,PUT,-1.000000,-1.000000,-1.000000,-1.000000,1632755281602,1632755282605,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,67.680000,67.800000,100.000000,100.000000,1632755282579,1632755283582
7419,40d309cd-1fa5-11ec-a223-ddbc94698b0c,SAVA.CBOE.21F2022.C210,210.000000,CALL,2.050000,3.100000,532.000000,37.000000,1632755510553,1632755511562,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,67.820000,67.910000,100.000000,300.000000,1632755514613,1632755515618
7428,40d309d4-1fa5-11ec-a223-ddbc94698b0c,SAVA.CBOE.21F2022.P185,185.000000,PUT,121.600000,124.400000,20.000000,73.000000,1632755505542,1632755506547,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,67.820000,67.910000,100.000000,300.000000,1632755514613,1632755515618
7412,3ad7d16d-1fa5-11ec-a223-ddbc94698b0c,SAVA.CBOE.21F2022.C30,30.000000,CALL,37.300000,40.800000,687.000000,178.000000,1632755502590,1632755503603,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,67.870000,67.950000,200.000000,200.000000,1632755504485,1632755505490
7430,40d309d8-1fa5-11ec-a223-ddbc94698b0c,SAVA.CBOE.21F2022.P30,30.000000,PUT,3.300000,4.500000,9.000000,111.000000,1632755510553,1632755511562,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,67.820000,67.910000,100.000000,300.000000,1632755514613,1632755515618
7407,3ad7d177-1fa5-11ec-a223-ddbc94698b0c,SAVA.CBOE.21F2022.P175,175.000000,PUT,112.200000,114.800000,14.000000,62.000000,1632755502590,1632755503603,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,67.870000,67.950000,200.000000,200.000000,1632755504485,1632755505490
7409,40d309cf-1fa5-11ec-a223-ddbc94698b0c,SAVA.CBOE.21F2022.P105,105.000000,PUT,48.500000,50.700000,27.000000,65.000000,1632755505542,1632755506547,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,67.820000,67.910000,100.000000,300.000000,1632755514613,1632755515618
7414,34e5e8e6-1fa5-11ec-a223-ddbc94698b0c,SAVA.CBOE.21F2022.P210,210.000000,PUT,145.100000,148.500000,24.000000,85.000000,1632755494013,1632755495080,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,67.870000,67.970000,500.000000,400.000000,1632755494402,1632755495407
7429,1d0dc7d1-1fa5-11ec-a223-ddbc94698b0c,SAVA.CBOE.21F2022.C200,200.000000,CALL,2.500000,3.500000,101.000000,91.000000,1632755453925,1632755454931,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.130000,68.240000,400.000000,200.000000,1632755454496,1632755455501
7413,3ad7d178-1fa5-11ec-a223-ddbc94698b0c,SAVA.CBOE.21F2022.C20,20.000000,CALL,45.500000,48.600000,59.000000,23.000000,1632755504039,1632755505045,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,67.870000,67.950000,200.000000,200.000000,1632755504485,1632755505490
7406,40d309d5-1fa5-11ec-a223-ddbc94698b0c,SAVA.CBOE.21F2022.P90,90.000000,PUT,36.600000,39.300000,64.000000,87.000000,1632755506043,1632755507050,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,67.820000,67.910000,100.000000,300.000000,1632755514613,1632755515618
7422,28f48122-1fa5-11ec-a223-ddbc94698b0c,SAVA.CBOE.21F2022.C7_5,7.500000,CALL,56.500000,60.400000,2.000000,15.000000,1632755469961,1632755470965,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.010000,68.110000,100.000000,200.000000,1632755474709,1632755475713
7436,3ad7d16f-1fa5-11ec-a223-ddbc94698b0c,SAVA.CBOE.21F2022.P50,50.000000,PUT,10.800000,11.600000,10.000000,46.000000,1632755504039,1632755505045,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,67.870000,67.950000,200.000000,200.000000,1632755504485,1632755505490
7433,3ad7d172-1fa5-11ec-a223-ddbc94698b0c,SAVA.CBOE.21F2022.P35,35.000000,PUT,4.500000,5.600000,93.000000,104.000000,1632755502590,1632755503614,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,67.870000,67.950000,200.000000,200.000000,1632755504485,1632755505490
7423,28f48123-1fa5-11ec-a223-ddbc94698b0c,SAVA.CBOE.21F2022.C160,160.000000,CALL,4.600000,5.400000,23.000000,36.000000,1632755464949,1632755465954,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.010000,68.110000,100.000000,200.000000,1632755474709,1632755475713
7427,40d309d9-1fa5-11ec-a223-ddbc94698b0c,SAVA.CBOE.21F2022.C120,120.000000,CALL,8.000000,8.700000,3.000000,53.000000,1632755509552,1632755510558,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,67.820000,67.910000,100.000000,300.000000,1632755514613,1632755515618
7424,34e5e8e2-1fa5-11ec-a223-ddbc94698b0c,SAVA.CBOE.21F2022.C125,125.000000,CALL,7.500000,8.100000,26.000000,55.000000,1632755487497,1632755488502,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,67.870000,67.970000,500.000000,400.000000,1632755494402,1632755495407
